country,health_care_index
Taiwan,86.5
South Korea,82.8
Japan,80.0
Netherlands,79.3
Denmark,78.4
Australia,77.9
France,77.7
Finland,77.5
Thailand,77.5
Spain,77.3
Ecuador,77.1
Belgium,75.9
Norway,75.6
Czechia,75.5
Estonia,75.5
Luxembourg,75.2
Lithuania,75.0
Qatar,73.4
Australia,73.4
Israel,73.2
United Kingdom,72.7
Mexico,72.5
Portugal,72.2
Germany,71.9
Singapore,71.8
Switzerland,71.5
Sri Lanka,71.4
Turkey,71.2
United Arab Emirates,70.6
Malaysia,70.3
Canada,68.7
China,68.7
Uruguay,68.6
Colombia,68.6
New Zealand,68.4
Sweden,68.3
Argentina,68.0
United States,67.8
Ireland,67.6
Guatemala,67.3
Philippines,67.3
Slovenia,66.1
India,65.5
Jordan,65.2
Oman,65.1
Italy,65.1
Croatia,64.7
Costa Rica,64.3
South Africa,63.8
Lebanon,63.7
Chile,63.5
Latvia,62.4
Kenya,62.0
Saudi Arabia,61.8
Russia,61.5
Vietnam,61.3
Indonesia,60.9
Panama,60.7
Kazakhstan,60.7
Pakistan,59.3
Brazil,59.1
Armenia,59.0
Greece,58.5
Slovakia,58.4
Kuwait,58.4
Dominican Republic,58.3
Bulgaria,58.1
Poland,58.0
Nepal,57.7
Ghana,57.4
Tunisia,57.2
Cyprus,57.1
Romania,56.5
Peru,56.3
Ukraine,55.9
Georgia,55.6
Bosnia and Herzegovina,55.6
North Macedonia,55.1
Algeria,54.5
Trinidad and Tobago,54.3
Hungary,54.3
Iran,52.8
Malta,52.5
Serbia,52.1
Ireland,51.5
Cambodia,50.7
Nigeria,49.1
Belarus,48.5
Azerbaijan,48.3
Albania,48.2
Egypt,47.3
Morocco,46.8
Iraq,45.9
Bangladesh,42.2
Venezuela,38.7
