country,natural_spaces_index
Afghanistan,55288.92280923153
Albania,10474.816567782407
Algeria,210258.0192279295
Andorra,188.9002837129356
Angola,156798.46361059032
Antigua and Barbuda,753.3948635638579
Argentina,590547.1430817276
Armenia,19619.29461659153
Australia,5722491.967715522
Australia,49200.0744660993
Azerbaijan,25646.09554854105
Bahamas,52772.86267183568
Bahrain,1708.0630528524612
Bangladesh,18627.11446950784
Barbados,20.012872606706487
Belarus,20733.47070234756
Belgium,12329.003103666748
Belize,17178.87917422774
Benin,27140.062004276857
Bhutan,19972.222331272704
Bosnia and Herzegovina,6216.096204688908
Botswana,193796.1745912862
Brazil,3971472.88301214
Bulgaria,86577.11642364848
Burkina Faso,62414.89329423365
Burundi,1399.1926791694343
Cabo Verde,1881.096577073528
Cambodia,74596.66282232486
Cameroon,77452.4606747104
Canada,2041766.1140882648
Central African Republic,109084.72998135764
Chad,182595.8846477733
Chile,1848414.817084078
China,178217.62907096566
Colombia,594187.8112594619
Comoros,1258.5698221020125
Costa Rica,214884.92806228696
Croatia,52458.37364102916
Cuba,76658.60212459284
Cyprus,24712.607392364032
Czechia,34478.01451618955
Côte d'Ivoire,102979.65560908668
Denmark,78571.3270917769
Djibouti,863.0403062391053
Dominica,238.72232317152884
Dominican Republic,62351.558343551726
Ecuador,571202.2049773321
Egypt,201460.5448578485
El Salvador,6323.186789781494
Equatorial Guinea,6874.390005674042
Eritrea,33134.35845978317
Estonia,58588.612799512186
Eswatini,3227.403473884513
Ethiopia,257610.02582471792
Fiji,14914.645733929136
Finland,137390.8006966586
France,505750.0974274908
Gabon,125575.70982667862
Zambia,1230.1062253894852
Georgia,23109.829529127823
Germany,334316.8968946753
Ghana,37733.67717882841
Greece,119029.96919102893
Grenada,309.2037361224176
Guatemala,41590.005143509625
Guinea,73277.02048719548
Guinea-Bissau,24121.62933151068
Guyana,17859.058277485048
Haiti,4161.7070488544105
Honduras,64552.45535404565
Hungary,39272.41309424257
Ireland,56537.38627650464
India,20851.902037594395
Indonesia,496890.2251754086
Iraq,23401.520651778366
Ireland,29377.538014411377
Israel,5897.624492364535
Italy,178474.4114392891
Jamaica,6329.7412373931165
Japan,474856.0278157232
Jordan,7732.829768120366
Kazakhstan,331095.71914487245
Kenya,113241.45978627744
Kiribati,805843.537043356
Kuwait,4689.926477620014
Kyrgyzstan,18954.638223690465
Latvia,43908.79881359976
Lebanon,1171.6377686511253
Lesotho,7213.365968793418
Liberia,11092.058314439617
Libya,0.0
Liechtenstein,84.85106990046589
Lithuania,29268.108020133022
Luxembourg,2436.914277512022
Madagascar,140560.44893132683
Malawi,22381.895060120834
Malaysia,70651.85735875218
Maldives,648.7803919139474
Malawi,99414.59617860732
Malta,11284.375633330275
Marshall Islands,7471.641999477255
Mauritania,36358.48589354024
Mauritius,175.69234298136854
Mexico,1265243.1281619803
Monaco,0.232726004939931
Mongolia,377908.30172364105
Montenegro,4597.007712158483
Morocco,139478.950586099
Mozambique,263705.37095330755
Myanmar,48300.19995754647
Namibia,432985.0158448909
Nepal,37539.90546218404
Netherlands,89480.86138475199
New Zealand,1393677.8064964053
Nicaragua,84840.85124485294
Nigeria,305317.85860050004
Nigeria,145896.78763810487
North Macedonia,9549.288374044025
Norway,122037.41490359494
Oman,159994.318147815
Pakistan,85057.89559456705
Palau,610305.5368080674
Panama,128480.00097574457
Papua New Guinea,26760.770973384224
Paraguay,142126.96180934823
Peru,369703.6660859968
Philippines,88518.39328101666
Poland,207668.0681741976
Portugal,338858.2446888394
Qatar,3465.170208941811
Romania,109078.82676520974
Rwanda,3774.904356929455
Saint Kitts and Nevis,523.0153911408169
SaintLucia,710.4934037233446
Saint Vincent and the Grenadines,330.18681299845383
Samoa,333.07789255128654
São Tomé and Príncipe,538.8627121923284
Saudi Arabia,503802.7136283588
Senegal,81440.77868490828
Serbia,17148.249582950055
Seychelles,438152.06675678777
Sierra Leone,13046.898890870349
Singapore,33.4607400642632
Slovakia,32119.918747340067
Slovenia,26458.68167372563
Solomon Islands,2231.848205208309
Somalia,0.0
South Africa,374930.3886299842
South Sudan,130189.713240518
Spain,581606.382204461
Sri Lanka,25674.5004981142
Sudan,10981.368984300669
Suriname,38233.38478653643
Sweden,327998.3632303492
Switzerland,7179.238466988234
Tajikistan,53689.36324984969
Thailand,141658.91213472077
Timor-Leste,3399.1330673713355
Togo,8070.77800268969
Tonga,484.0704211469988
Trinidad and Tobago,1491.6681432950063
Tunisia,21142.27799716807
Turkmenistan,26334.21873562113
Tuvalu,218.00196851851595
Uganda,43299.83634433684
Ukraine,150600.1394739807
United Arab Emirates,24951.130927001694
United Kingdom,743942.067180909
United States,5796077.427363612
Uruguay,21457.111317537416
Uzbekistan,37934.72895342422
Vanuatu,474.6131709200702
Vietnam,74114.51354932452
Yemen,12061.127487415424
Zambia,317406.1672465636
Zimbabwe,120039.04863131064
